ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,ovBalls/6,id,inningId,ovBalls/7,ovBalls/8,ovBalls/9,ovBalls/10,ovBalls/11,ovBalls/12,ovBalls/13,bowlerId
1,1,.,.,.,1Wd,.,1,1,1,,,,,,,,
2,1,.,.,.,1,1,,2,1,,,,,,,,
3,1,W,1,.,1Nb,.,.,3,1,,,,,,,,
4,4,1Nb,.,.,.,4,.,4,1,,,,,,,,
5,.,.,4,.,.,.,,5,1,,,,,,,,
6,.,.,.,.,1,1,,6,1,,,,,,,,
7,.,.,.,.,1,4,,7,1,,,,,,,,
8,.,.,1,.,.,.,,8,1,,,,,,,,
9,.,.,.,.,.,.,,9,1,,,,,,,,
10,4,.,4,.,.,2,,10,1,,,,,,,,
11,.,1,.,.,.,.,,11,1,,,,,,,,
12,.,.,.,.,.,.,,12,1,,,,,,,,
13,.,4,.,1,.,.,,13,1,,,,,,,,
14,.,.,.,1,1Lb,.,,14,1,,,,,,,,
15,.,4,2,.,.,.,,15,1,,,,,,,,
16,.,.,4,.,.,.,,16,1,,,,,,,,
17,.,.,.,.,.,.,,17,1,,,,,,,,
18,1,1,.,1,.,.,,18,1,,,,,,,,
19,.,.,.,2Nb,.,.,.,19,1,,,,,,,,
20,1,W,.,.,1,4,,20,1,,,,,,,,
21,.,.,.,.,.,.,,21,1,,,,,,,,
22,.,.,1,.,1,1,,22,1,,,,,,,,
23,.,4,.,.,1,.,,23,1,,,,,,,,
24,.,.,.,.,W,.,,24,1,,,,,,,,
25,.,.,.,.,.,.,,25,1,,,,,,,,
26,.,.,.,.,.,.,,26,1,,,,,,,,
27,.,1,.,1Wd,.,1Wd,.,27,1,.,,,,,,,
28,6,4,1,.,1,2,,28,1,,,,,,,,
29,1,1,4,.,.,.,,29,1,,,,,,,,
30,1,.,.,.,.,.,,30,1,,,,,,,,
31,4,.,.,6,4,.,,31,1,,,,,,,,
32,1,.,.,1,.,1,,32,1,,,,,,,,
33,.,1,.,1,.,1,,33,1,,,,,,,,
34,1,1,2,.,1,.,,34,1,,,,,,,,
35,.,1Wd,.,.,6,.,4,35,1,,,,,,,,
36,.,.,1,1,1,.,,36,1,,,,,,,,
37,.,2,.,.,.,1,,37,1,,,,,,,,
38,.,1,.,2,1,1,,38,1,,,,,,,,
39,.,1,.,1,1,1,,39,1,,,,,,,,
40,.,1,1,.,1,1,,40,1,,,,,,,,
41,6,.,1,.,4,1,,41,1,,,,,,,,
42,W,1,.,.,.,2,,42,1,,,,,,,,
43,.,.,1,.,4,.,,43,1,,,,,,,,
44,.,.,1,4,.,W,,44,1,,,,,,,,
45,1,1,.,.,W,1,,45,1,,,,,,,,
46,.,1,1Lb,6,2,1,,46,1,,,,,,,,
47,1,1,4,.,4,1,,47,1,,,,,,,,
48,1,.,4,1,4,6,,48,1,,,,,,,,
49,1,W,1,.,1,2Wd,1,49,1,,,,,,,,
50,W,4,W,1,2,6,,50,1,,,,,,,,
1,.,6,W,4,.,.,,51,2,,,,,,,,
2,.,.,.,.,.,.,,52,2,,,,,,,,
3,.,.,.,.,.,.,,53,2,,,,,,,,
4,1Lb,.,4,1,1,W,,54,2,,,,,,,,
5,.,.,.,.,4,.,,55,2,,,,,,,,
6,.,.,.,.,2,2,,56,2,,,,,,,,
7,.,.,4,.,1Lb,1,,57,2,,,,,,,,
8,.,1,.,.,.,.,,58,2,,,,,,,,
9,1,.,.,1,.,1,,59,2,,,,,,,,
10,.,.,2,.,.,.,,60,2,,,,,,,,
11,1,1,W,.,1,.,,61,2,,,,,,,,
12,1Wd,.,.,.,.,1,.,62,2,,,,,,,,
13,1,.,.,.,.,.,,63,2,,,,,,,,
14,.,.,.,.,.,.,,64,2,,,,,,,,
15,1,.,.,.,.,.,,65,2,,,,,,,,
16,.,.,.,.,.,.,,66,2,,,,,,,,
17,.,4,4,.,.,.,,67,2,,,,,,,,
18,.,.,.,.,4,1,,68,2,,,,,,,,
19,1,4,.,1,1,.,,69,2,,,,,,,,
20,.,.,.,.,.,.,,70,2,,,,,,,,
21,.,.,.,.,1,1,,71,2,,,,,,,,
22,.,1,1,1,1,1,,72,2,,,,,,,,
23,1,.,.,1,1,.,,73,2,,,,,,,,
24,1,4,.,.,.,1,,74,2,,,,,,,,
25,.,.,.,1,1,.,,75,2,,,,,,,,
26,1,1,.,.,1,1,,76,2,,,,,,,,
27,1,1,1,.,2,1,,77,2,,,,,,,,
28,1,1,1,1,.,1,,78,2,,,,,,,,
29,1,.,1,.,.,W,,79,2,,,,,,,,
30,.,1,.,4,.,1,,80,2,,,,,,,,
31,.,.,.,1,1,1,,81,2,,,,,,,,
32,1,1,.,.,1,.,,82,2,,,,,,,,
33,4,1,.,W,W,.,,83,2,,,,,,,,
34,1,.,.,1,1,.,,84,2,,,,,,,,
35,1,1,.,1,1,1,,85,2,,,,,,,,
36,1,.,.,1,.,1,,86,2,,,,,,,,
37,1,.,.,.,.,1,,87,2,,,,,,,,
38,.,.,.,1,1,.,,88,2,,,,,,,,
39,1,1,1,.,2,1,,89,2,,,,,,,,
40,.,1,4,1,.,.,,90,2,,,,,,,,
41,1,W,.,.,.,.,,91,2,,,,,,,,
42,.,1,1,6,1,.,,92,2,,,,,,,,
43,4,.,4,1,1Wd,1,1,93,2,,,,,,,,
44,1,.,1,1,1,1,,94,2,,,,,,,,
45,.,1,.,1,1,2,,95,2,,,,,,,,
46,1,1,1,1,4,1,,96,2,,,,,,,,
47,.,1,2,.,W,W,,97,2,,,,,,,,
48,.,W,,,,,,98,2,,,,,,,,
1,.,.,.,.,1,.,,99,3,,,,,,,,
2,.,1,.,.,.,1Wd,.,100,3,,,,,,,,
3,.,1,4,1Lb,.,4,,101,3,,,,,,,,
4,4,.,.,1,.,4,,102,3,,,,,,,,
5,.,.,.,.,.,1Wd,.,103,3,,,,,,,,
6,1Nb,4,4,.,1,2,.,104,3,,,,,,,,
7,1,.,6,.,.,4,,105,3,,,,,,,,
8,.,.,4,2,.,.,,106,3,,,,,,,,
9,1,.,.,1,.,.,,107,3,,,,,,,,
10,.,1,1,.,1,5,,108,3,,,,,,,,
11,2,.,1,.,.,1,,109,3,,,,,,,,
12,2,.,4,1,.,.,,110,3,,,,,,,,
13,.,1,1,.,.,.,,111,3,,,,,,,,
14,.,.,1,.,1,1,,112,3,,,,,,,,
15,.,4,.,.,1,.,,113,3,,,,,,,,
16,.,1,1,.,1,1,,114,3,,,,,,,,
17,.,.,4,.,.,W,,115,3,,,,,,,,
18,1,.,.,.,.,.,,116,3,,,,,,,,
19,1,4,.,.,.,.,,117,3,,,,,,,,
20,4,.,.,.,.,1,,118,3,,,,,,,,
21,1,4,1,1,4,.,,119,3,,,,,,,,
22,.,.,.,1,.,.,,120,3,,,,,,,,
23,1,.,.,4,1,.,,121,3,,,,,,,,
24,.,4,.,1,.,.,,122,3,,,,,,,,
25,.,1,1Wd,.,4,1,1,123,3,,,,,,,,
26,.,.,.,1,1,.,,124,3,,,,,,,,
27,1,1,1,1,W,.,,125,3,,,,,,,,
28,.,1,.,.,.,4,,126,3,,,,,,,,
29,.,6,.,.,4,1,,127,3,,,,,,,,
30,.,1,1,6,1,.,,128,3,,,,,,,,
31,1,1,1,1,.,1,,129,3,,,,,,,,
32,1,1,2,1,1,4,,130,3,,,,,,,,
33,1,1Lb,1,1,.,.,,131,3,,,,,,,,
34,1,1,1,1,.,4,,132,3,,,,,,,,
35,2,.,W,4,1,.,,133,3,,,,,,,,
36,4,2,.,.,1,1,,134,3,,,,,,,,
37,2,.,1,.,.,1,,135,3,,,,,,,,
38,.,1,6,.,1,.,,136,3,,,,,,,,
39,2,6,1,4,1,1,,137,3,,,,,,,,
40,.,1,1,1,1,1,,138,3,,,,,,,,
41,1,2,1,1,1,4,,139,3,,,,,,,,
