id,fullName,shortName,nationality,dateOfBirth,rightArmedBowl,rightHandedBat,bowlingStyle,teamId
2065,Rick McCosker,RB McCosker,Australian,1946-12-11,false,true,,2808
2114,Alan Turner,A Turner,Australian,1950-07-23,false,true,,2808
2083,Greg Chappell,G Chappell,Australian,1948-08-07,true,true,MEDIUM_SEAM,2808
2115,Jeff Thomson,J Thomson,Australian,1950-08-16,true,true,FAST_SEAM,2808
2020,Ian Chappell,I Chappell,Australian,1943-09-26,true,true,LEG_SPIN,2808
2084,Max Walker,MHN Walker,Australian,1948-09-12,false,true,,2808
2101,Dennis Lillee,D Lillee,Australian,1949-07-18,true,true,FAST_SEAM,2808
2039,Ashley Mallett,AA Mallett,Australian,1945-07-13,false,true,,2808
2012,Ross Edwards,R Edwards,Australian,1942-12-01,false,true,,2808
2076,Rod Marsh,RW Marsh,Australian,1947-11-04,false,false,,2808
2046,Doug Walters,D Walters,Australian,1945-12-21,true,true,MEDIUM_SEAM,2808
2145,Wasim Raja,W Raja,Pakistani,1952-07-03,false,true,,2809
2018,Asif Iqbal,Asif Iqbal,Indian,1943-06-06,false,true,,2809
2035,Sadiq Mohammad,Sadiq Mohammad,Indian,1945-05-03,false,true,,2809
2070,Zaheer Abbas,Zaheer Abbas,Pakistani,1947-07-24,true,true,OFF_SPIN,2809
2022,Mushtaq Mohammad,Mushtaq Mohammad,Indian,1943-11-22,false,true,,2809
2056,Majid Khan,Majid Khan,Indian,1946-09-28,false,true,,2809
2088,Sarfraz Nawaz,Sarfraz Nawaz,Pakistani,1948-12-01,true,true,FAST_SEAM,2809
2108,Naseer Malik,N Malik,Pakistani,1950-02-01,false,true,,2809
2158,Imran Khan,Imran Khan,Pakistani,1952-10-05,true,true,FAST_SEAM,2809
2047,Asif Masood,Asif Masood,Indian,1946-01-23,false,true,,2809
2080,Wasim Bari,Wasim Bari,Pakistani,1948-03-23,false,true,,2809
2001,Jawahir Shah,JN Shah,Kenyan,1941-11-30,false,true,,2810
1954,Parbhu Nana,PG Nana,Indian,1933-08-17,false,true,,2810
2003,Mehmood Quaraishy,Mehmood Quaraishy,Kenyan,1942-02-04,false,true,,2810
2102,Frasat Ali,F Ali,Pakistani,1949-07-31,false,true,,2810
2105,Shiraz Sumar,S Sumar,Tanzanian,1949-11-30,false,true,,2810
2077,Samawiri Walusimbi,S Walusimbi,Ugandan,1947-11-30,false,true,,2810
1997,Ramesh Sethi,RK Sethi,Kenyan,1941-09-04,false,true,,2810
2061,Zulfiqar Ali,Zulfiqar Ali,Kenyan,1946-11-30,false,true,,2810
1933,Hamish McLeod,HG McLeod,,1970-01-01,false,true,,2810
1965,John Nagenda,J Nagenda,Ruanda Urundi,1938-04-25,false,true,,2810
2015,Harilal Shah,HR Shah,Kenyan,1943-04-14,false,true,,2810
2049,Richard Collinge,RO Collinge,New Zealander,1946-04-02,false,true,,2811
2068,Glenn Turner,GM Turner,New Zealander,1947-05-26,false,true,,2811
2133,Richard Hadlee,RJ Hadlee,New Zealander,1951-07-03,false,false,,2811
1976,Brian Hastings,BF Hastings,New Zealander,1940-03-23,false,true,,2811
2024,Hedley Howarth,HJ Howarth,New Zealander,1943-12-25,false,true,,2811
2073,John Morrison,JFM Morrison,New Zealander,1947-08-27,false,true,,2811
2121,John Parker,JM Parker,New Zealander,1951-02-21,false,true,,2811
2171,Brian McKechnie,BJ McKechnie,New Zealander,1953-11-06,false,true,,2811
2060,Ken Wadsworth,KJ Wadsworth,New Zealander,1946-11-30,false,true,,2811
2078,Dayle Hadlee,DR Hadlee,New Zealander,1948-01-06,false,true,,2811
2128,Geoff Howarth,GP Howarth,New Zealander,1951-03-29,false,true,,2811
2050,Alan Knott,APE Knott,English,1946-04-09,true,true,OFF_SPIN,2812
1988,Mike Denness,MH Denness,Scottish,1940-12-01,false,true,,2812
2057,Tony Greig,AW Greig,South African,1946-10-06,false,true,,2812
2089,Chris Old,CM Old,English,1948-12-22,false,true,,2812
2026,Keith Fletcher,KWR Fletcher,English,1944-05-20,false,true,,2812
1995,John Jameson,JA Jameson,Indian,1941-06-30,false,true,,2812
2013,Barry Wood,B Wood,English,1942-12-26,false,true,,2812
2029,Geoff Arnold,GG Arnold,English,1944-09-03,false,true,,2812
2014,Dennis Amiss,DL Amiss,English,1943-04-07,false,true,,2812
1982,Peter Lever,P Lever,English,1940-09-17,false,true,,2812
1999,John Snow,J Snow,English,1941-10-13,true,true,FAST_SEAM,2812
2033,Srinivasaraghavan Venkataraghavan,S Venkataraghavan,Indian,1945-04-21,false,true,,2813
2100,Sunil Gavaskar,S Gavaskar,Indian,1949-07-10,true,true,MEDIUM_SEAM,2813
2116,Mohinder Amarnath,M Amarnath,Indian,1950-09-24,false,true,,2813
2150,Anshuman Gaekwad,AD Gaekwad,Indian,1952-09-23,false,true,,2813
2091,Gundappa Viswanath,G Viswanath,Indian,1949-02-12,true,true,LEG_SPIN,2813
2123,Karsan Ghavri,KD Ghavri,Indian,1951-02-28,false,true,,2813
1964,Farokh Engineer,FM Engineer,Indian,1938-02-25,false,true,,2813
2157,Brijesh Patel,BP Patel,Indian,1952-11-24,false,true,,2813
1998,Syed Abid Ali,S Abid Ali,Indian,1941-09-09,false,true,,2813
2079,Eknath Solkar,ED Solkar,Indian,1948-03-18,false,true,,2813
2127,Madan Lal,Madan Lal,Indian,1951-03-20,false,true,,2813
1970,Michael Tissera,MH Tissera,Sri Lankan,1939-03-23,false,true,,2814
2163,Bandula Warnapura,B Warnapura,Sri Lankan,1953-03-01,false,true,,2814
2099,Lalith Kaluperuma,LWS Kaluperuma,Sri Lankan,1949-06-25,false,true,,2814
2148,Duleep Mendis,LRD Mendis,Sri Lankan,1952-08-25,false,true,,2814
2038,David Heyn,PD Heyn,Sri Lankan,1945-06-26,false,true,,2814
2006,Somachandra de Silva,DS de Silva,Sri Lankan,1942-06-11,false,true,,2814
2215,Anura Ranasinghe,AN Ranasinghe,Sri Lankan,1956-10-13,false,true,,2814
2071,Tony Opatha,ARM Opatha,Sri Lankan,1947-08-05,false,true,,2814
2025,Ranjit Fernando,ER Fernando,Sri Lankan,1944-02-22,false,true,,2814
2058,Anura Tennekoon,APB Tennekoon,Sri Lankan,1946-10-29,false,true,,2814
2048,Mevan Pieris,HSM Pieris,Sri Lankan,1946-02-16,false,true,,2814
2017,Deryck Murray,DL Murray,Trinidadian,1943-05-20,false,true,,2815
2021,Keith Boyce,KD Boyce,Barbados,1943-10-11,false,true,,2815
1957,Lance Gibbs,LR Gibbs,West Indian,1934-09-29,true,true,OFF_SPIN,2815
