id,fullName,shortName,abbreviation,wicketKeeperId,captainId
11,England,England,ENG,2050,1988
11,England,England,ENG,1996,2004
11,England,England,ENG,2229,2096
11,England,England,ENG,2222,2226
11,England,England,ENG,2330,2169
11,England,England,ENG,2330,2330
11,England,England,ENG,2338,2434
11,England,England,ENG,2330,2435
11,England,England,ENG,781,2594
11,England,England,ENG,905,2629
11,England,England,ENG,512,899
11,England,England,ENG,509,899
11,England,England,ENG,509,197
11,England,England,ENG,509,192
11,England,England,ENG,506,1256
11,England,England,ENG,506,197
11,England,England,ENG,509,509
11,England,England,ENG,2756,197
11,England,England,ENG,3641,197
11,England,England,ENG,3357,1154
12,Ireland,Ireland,IRE,523,518
12,Ireland,Ireland,IRE,523,2604
12,Ireland,Ireland,IRE,523,515
12,Ireland,Ireland,IRE,24609,24611
12,Ireland,Ireland,IRE,24289,24611
12,Ireland,Ireland,IRE,529,515
12,Ireland,Ireland,IRE,1191,515
12,Ireland,Ireland,IRE,2989,515
12,Ireland,Ireland,IRE,2989,1190
12,Ireland,Ireland,IRE,,
13,Sri Lanka,Sri Lanka,SL,2025,2058
13,Sri Lanka,Sri Lanka,SL,2189,2058
13,Sri Lanka,Sri Lanka,SL,,
13,Sri Lanka,Sri Lanka,SL,2189,2163
13,Sri Lanka,Sri Lanka,SL,2257,2148
13,Sri Lanka,Sri Lanka,SL,2305,2148
13,Sri Lanka,Sri Lanka,SL,2407,2148
13,Sri Lanka,Sri Lanka,SL,2416,2385
13,Sri Lanka,Sri Lanka,SL,2481,2348
13,Sri Lanka,Sri Lanka,SL,27,342
13,Sri Lanka,Sri Lanka,SL,27,175
13,Sri Lanka,Sri Lanka,SL,27,27
13,Sri Lanka,Sri Lanka,SL,,175
13,Sri Lanka,Sri Lanka,SL,716,175
13,Sri Lanka,Sri Lanka,SL,230,175
13,Sri Lanka,Sri Lanka,SL,27,217
13,Sri Lanka,Sri Lanka,SL,27,230
13,Sri Lanka,Sri Lanka,SL,217,230
13,Sri Lanka,Sri Lanka,SL,1738,217
13,Sri Lanka,Sri Lanka,SL,230,217
13,Sri Lanka,Sri Lanka,SL,27,502
13,Sri Lanka,Sri Lanka,SL,230,230
13,Sri Lanka,Sri Lanka,SL,1847,501
13,Sri Lanka,Sri Lanka,SL,230,501
13,Sri Lanka,Sri Lanka,SL,1847,217
13,Sri Lanka,Sri Lanka,SL,1847,353
13,Sri Lanka,Sri Lanka,SL,1847,211
13,Sri Lanka,Sri Lanka,SL,1847,215
13,Sri Lanka,Sri Lanka,SL,1847,230
13,Sri Lanka,Sri Lanka,SL,1670,211
13,Sri Lanka,Sri Lanka,SL,1670,954
13,Sri Lanka,Sri Lanka,SL,1738,954
13,Sri Lanka,Sri Lanka,SL,1671,502
13,Sri Lanka,Sri Lanka,SL,1672,502
13,Sri Lanka,Sri Lanka,SL,230,954
13,Sri Lanka,Sri Lanka,SL,1738,1738
13,Sri Lanka,Sri Lanka,SL,1847,1738
13,Sri Lanka,Sri Lanka,SL,1672,2876
13,Sri Lanka,Sri Lanka,SL,230,2876
13,Sri Lanka,Sri Lanka,SL,1670,2876
14,India,India,IND,1964,2033
14,India,India,IND,2206,2033
14,India,India,IND,2107,2256
14,India,India,IND,2314,2256
14,India,India,IND,2301,2256
14,India,India,IND,2314,2324
14,India,India,IND,2486,2324
14,India,India,IND,131,2324
14,India,India,IND,131,130
14,India,India,IND,1,131
14,India,India,IND,1,1
14,India,India,IND,102,164
14,India,India,IND,16,14
14,India,India,IND,16,164
14,India,India,IND,127,164
14,India,India,IND,127,135
14,India,India,IND,1,164
14,India,India,IND,1,107
14,India,India,IND,102,107
14,India,India,IND,2972,164
14,India,India,IND,1125,164
14,India,India,IND,2975,41
14,India,India,IND,258,41
14,India,India,IND,2972,1125
15,Australia,Australia,AUS,2076,2020
15,Australia,Australia,AUS,2173,2174
15,Australia,Australia,AUS,2076,2174
15,Australia,Australia,AUS,2076,2184
15,Australia,Australia,AUS,2259,2192
15,Australia,Australia,AUS,2355,2192
15,Australia,Australia,AUS,2289,2192
15,Australia,Australia,AUS,2355,2360
15,Australia,Australia,AUS,65,2375
15,Australia,Australia,AUS,65,361
15,Australia,Australia,AUS,2582,361
15,Australia,Australia,AUS,195,361
15,Australia,Australia,AUS,195,19
15,Australia,Australia,AUS,290,286
15,Australia,Australia,AUS,290,19
15,Australia,Australia,AUS,195,227
15,Australia,Australia,AUS,400,286
15,Australia,Australia,AUS,195,286
15,Australia,Australia,AUS,195,271
15,Australia,Australia,AUS,290,271
15,Australia,Australia,AUS,290,170
15,Australia,Australia,AUS,932,167
15,Australia,Australia,AUS,932,271
15,Australia,Australia,AUS,303,271
15,Australia,Australia,AUS,3882,271
15,Australia,Australia,AUS,303,303
15,Australia,Australia,AUS,3882,167
15,Australia,Australia,AUS,3882,3882
15,Australia,Australia,AUS,,
16,New Zealand,New Zealand,NZ,2060,2068
16,New Zealand,New Zealand,NZ,2141,2027
16,New Zealand,New Zealand,NZ,2141,2128
16,New Zealand,New Zealand,NZ,2220,2128
16,New Zealand,New Zealand,NZ,2220,2247
16,New Zealand,New Zealand,NZ,2220,2316
16,New Zealand,New Zealand,NZ,2450,2450
16,New Zealand,New Zealand,NZ,2518,350
16,New Zealand,New Zealand,NZ,771,350
16,New Zealand,New Zealand,NZ,202,350
16,New Zealand,New Zealand,NZ,202,243
16,New Zealand,New Zealand,NZ,202,226
16,New Zealand,New Zealand,NZ,439,202
16,New Zealand,New Zealand,NZ,202,202
16,New Zealand,New Zealand,NZ,431,202
16,New Zealand,New Zealand,NZ,338,202
16,New Zealand,New Zealand,NZ,338,433
